Variavel,Baseline,Processor MHz,cache_l1_kb,cache_l2_kb,cache_l3_kb
Baseline,1,0.2714325498114753,0.09171014233310476,0.3822471051700979,0.41898448716629216
Processor MHz,0.2714325498114753,1,-0.04747741420609715,-0.3137825478411008,0.07772092023691522
cache_l1_kb,0.09171014233310476,-0.04747741420609715,1,0.36050818438550614,0.14400408891893596
cache_l2_kb,0.3822471051700979,-0.3137825478411008,0.36050818438550614,1,-0.07961064905469394
cache_l3_kb,0.41898448716629216,0.07772092023691522,0.14400408891893596,-0.07961064905469394,1
